id,title,comb_feat
41154,Men in Black 3,Action Comedy Science Fiction time travel time machine alien fictional government agency seeing the future changing history Amblin Entertainment Media Magik Entertainment Imagenation Abu Dhabi FZ Hemisphere Media Capital Parkes/MacDonald Productions 6.2
122917,The Hobbit: The Battle of the Five Armies,Action Adventure Fantasy corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery WingNut Films New Line Cinema Warner Bros. Pictures 3Foot7 Metro-Goldwyn-Mayer (MGM) 7.1
1930,The Amazing Spider-Man,Action Adventure Fantasy loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger Columbia Pictures Laura Ziskin Productions Marvel Entertainment 6.5
20662,Robin Hood,Action Adventure robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england Imagine Entertainment Universal Pictures Scott Free Productions Relativity Media 6.2
57158,The Hobbit: The Desolation of Smaug,Adventure Fantasy elves dwarves orcs hobbit dragon wizard sword and sorcery WingNut Films New Line Cinema Warner Bros. Pictures Metro-Goldwyn-Mayer (MGM) 7.6
2268,The Golden Compass,Adventure Fantasy england compass experiment lordship uncle polar bear orphan animal based on young adult novel New Line Cinema Ingenious Film Partners Depth of Field Scholastic Productions 5.8
254,King Kong,Adventure Drama Action film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur WingNut Films Universal Pictures Big Primate Pictures MFPV Film 6.6
597,Titanic,Drama Romance Thriller shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s Paramount Pictures Twentieth Century Fox Film Corporation Lightstorm Entertainment 7.5
271110,Captain America: Civil War,Adventure Action Science Fiction civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d Studio Babelsberg Marvel Studios Walt Disney Studios Motion Pictures Vita-Ray Dutch Productions (III) Deluxe Digital Studios 7.1
44833,Battleship,Thriller Action Adventure Science Fiction fight u.s. navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri Universal Pictures Hasbro Bluegrass Films Film 44 5.5
135397,Jurassic World,Action Adventure Science Fiction Thriller monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror Universal Studios Amblin Entertainment Legendary Pictures Fuji Television Network Dentsu 6.5
37724,Skyfall,Action Adventure Thriller spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao Columbia Pictures 6.9
558,Spider-Man 2,Action Adventure Fantasy dual identity love of one's life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain Columbia Pictures Laura Ziskin Productions Marvel Enterprises 6.7
68721,Iron Man 3,Action Adventure Science Fiction terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis Marvel Studios 6.8
12155,Alice in Wonderland,"Family Fantasy Adventure based on novel fictional place queen fantasy alice in wonderland fantasy world 3d Walt Disney Pictures Team Todd Tim Burton Productions Roth Films Zanuck Company, The 6.4"
36668,X-Men: The Last Stand,Adventure Action Science Fiction Thriller mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger Ingenious Film Partners Twentieth Century Fox Film Corporation Donners' Company Dune Entertainment Major Studio Partners Bad Hat Harry Productions thinkfilm Marvel Enterprises X3 Canada Productions X3US Productions XM3 Service 6.3
62211,Monsters University,Animation Family monster dormitory games animation best friend university scary aftercreditsstinger Walt Disney Pictures Pixar Animation Studios 7.0
8373,Transformers: Revenge of the Fallen,Science Fiction Action Adventure egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger Paramount Pictures DreamWorks SKG Amblin Entertainment Di Bonaventura Pictures Platinum Dunes Hasbro Studios Revolution Sun Studios 6.0
91314,Transformers: Age of Extinction,Science Fiction Action Adventure sequel alien transformers giant robot robot imax transforming robot Paramount Pictures Amblin Entertainment Di Bonaventura Pictures Platinum Dunes China Movie Channel Hasbro Studios Ian Bryce Productions Revolution Sun Studios 5.8
68728,Oz: The Great and Powerful,Fantasy Adventure Family circus witch magic hope illusion lost magic trick wizard 3d Walt Disney Pictures Roth Films 5.7
102382,The Amazing Spider-Man 2,Action Adventure Fantasy obsession marvel comic sequel based on comic book electrocution medical experiment electricity super powers Columbia Pictures Marvel Enterprises Avi Arad Productions Matt Tolmach Productions 6.5
20526,TRON: Legacy,Adventure Action Science Fiction artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy Walt Disney Pictures LivePlanet Prana Studios Sean Bailey Productions Revolution Sun Studios Kontsept Film Company 6.3
49013,Cars 2,Animation Family Adventure Comedy car race sequel comedy anthropomorphism best friend duringcreditsstinger Walt Disney Pictures Pixar Animation Studios 5.8
44912,Green Lantern,Adventure Action Thriller Science Fiction dc comics transformation superhero alien alien infection magical object protector super powers origin 3d De Line Pictures Warner Bros. DC Entertainment 5.1
10193,Toy Story 3,Animation Family Comedy hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy comes to life personification inanimate objects coming to life toy story Walt Disney Pictures Pixar Animation Studios 7.6
534,Terminator Salvation,Action Science Fiction Thriller saving the world artificial intelligence prophecy san francisco cyborg killer robot gas station post-apocalyptic dystopia army firearm wartime los angeles Columbia Pictures The Halcyon Company Wonderland Sound and Vision Warner Bros. 5.9
168259,Furious 7,"Action car race speed revenge suspense car race muscle car Universal Pictures Original Film Fuji Television Network Dentsu One Race Films China Film Co. Québec Production Services Tax Credit Media Rights Capital (MRC) Abu Dhabi Film Commission Colorado Office of Film, Television & Media 7.3"
72190,World War Z,Action Drama Horror Science Fiction Thriller dystopia apocalypse zombie nuclear weapons multiple perspectives zombie apocalypse Paramount Pictures GK Films Skydance Productions Hemisphere Media Capital Apparatus Productions Latina Pictures 2DUX² 6.7
127585,X-Men: Days of Future Past,Action Adventure Fantasy Science Fiction 1970s mutant time travel marvel comic based on comic book superhuman storm beast aftercreditsstinger changing the past or future Twentieth Century Fox Film Corporation Donners' Company Marvel Entertainment Bad Hat Harry Productions TSG Entertainment Down Productions Revolution Sun Studios 7.5
54138,Star Trek Into Darkness,Action Adventure Science Fiction spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing 3d Paramount Pictures Skydance Productions Bad Robot Kurtzman/Orci 7.4
81005,Jack the Giant Slayer,Action Family Fantasy based on fairy tale giant New Line Cinema Original Film Legendary Pictures Warner Bros. Big Kid Pictures Bad Hat Harry Productions 5.5
64682,The Great Gatsby,Drama Romance based on novel infidelity obsession hope 3d Village Roadshow Pictures Bazmark Films Warner Bros. A&E Television Networks Red Wagon Entertainment Spectrum Films 7.3
9543,Prince of Persia: The Sands of Time,Adventure Fantasy Action Romance persia sandstorm brother against brother armageddon regent based on video game Walt Disney Pictures Jerry Bruckheimer Films 6.2
68726,Pacific Rim,Action Science Fiction Adventure dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d Legendary Pictures Warner Bros. Disney Double Dare You (DDY) Indochina Productions 6.7
38356,Transformers: Dark of the Moon,Action Science Fiction Adventure moon spacecraft traitor bodyguard alien planet based on cartoon transformers giant robot sabotage word domination commando duringcreditsstinger Paramount Pictures Di Bonaventura Pictures Indochina Productions Hasbro Studios 6.1
217,Indiana Jones and the Kingdom of the Crystal Skull,Adventure Action saving the world riddle whip treasure mexico city leather jacket machinegun alien phenomenons maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeology  Lucasfilm Paramount Pictures 5.7
105864,The Good Dinosaur,Adventure Animation Family tyrannosaurus rex friends alternate history dinosaur fear storm nature human journey Walt Disney Pictures Pixar Animation Studios 6.6
62177,Brave,Animation Adventure Comedy Family Action Fantasy scotland rebel bravery kingdom archer wish bear scot rebellious daughter turns into animal archery ruins aftercreditsstinger peace offering woman director courage 3d Walt Disney Pictures Pixar Animation Studios 6.7
188927,Star Trek Beyond,Action Adventure Science Fiction sequel stranded hatred space opera Paramount Pictures Bad Robot Perfect Storm Entertainment Alibaba Pictures Group Skydance Media Sneaky Shark Huahua Media 6.6
10681,WALL·E,Animation Family romantic comedy Walt Disney Pictures Pixar Animation Studios FortyFour Studios 7.8
5174,Rush Hour 3,Action Comedy Crime Thriller ambassador New Line Cinema 6.1
14161,2012,Action Adventure Science Fiction civilization natural disaster end of the world disaster apocalypse destruction volcanic eruption mayan ark solar destruction  of mankind Columbia Pictures Centropolis Entertainment The Mark Gordon Company Farewell Productions 5.6
17979,A Christmas Carol,Animation Drama holiday based on novel victorian england money christmas eve scrooge christmas carol ghost lesson charles dickens christmas Walt Disney ImageMovers 6.6
76757,Jupiter Ascending,Science Fiction Fantasy Action Adventure jupiter space woman director 3d interspecies romance Village Roadshow Pictures Dune Entertainment Anarchos Productions Warner Bros. 5.2
258489,The Legend of Tarzan,Action Adventure africa feral child tarzan jungle animal attack Village Roadshow Pictures Dark Horse Entertainment Jerry Weintraub Productions RatPac-Dune Entertainment Beagle Pug Films Riche Productions Village Roadshow Films North America 5.5
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure Family Fantasy saving the world witch based on novel brother sister relationship self sacrifice winter cupboard beaver lion fairy-tale figure battle narnia fantasy world duringcreditsstinger Walt Disney Walden Media 6.7
246655,X-Men: Apocalypse,Science Fiction mutant supernatural powers marvel comic superhero based on comic book superhuman apocalypse superhero team world domination aftercreditsstinger 1980s Twentieth Century Fox Film Corporation Donners' Company Marvel Entertainment Bad Hat Harry Productions TSG Entertainment Kinberg Genre 6.4
155,The Dark Knight,Drama Action Crime Thriller dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman DC Comics Legendary Pictures Warner Bros. DC Entertainment Syncopy 8.2
14160,Up,Animation Comedy Family Adventure age difference central and south america balloon animation floating in the air duringcreditsstinger exploring Pixar Animation Studios 7.7
15512,Monsters vs Aliens,Animation Family Adventure Science Fiction alien giant robot duringcreditsstinger DreamWorks Animation 6.0
1726,Iron Man,Action Science Fiction Adventure middle east arms dealer malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe counter terrorism agent coulson Marvel Studios 7.4
44826,Hugo,Adventure Drama Family library clock film director key toy boy love orphan robot automaton hiding filmmaking leg brace doberman 3d Paramount Pictures Infinitum Nihil GK Films 7.0
8487,Wild Wild West,"Action Adventure Comedy Science Fiction Western steampunk based on tv series steam locomotive drag Todman, Simon, LeMasters Productions Warner Bros. Peters Entertainment Sonnenfeld Josephson Worldwide Entertainment 5.1"
1735,The Mummy: Tomb of the Dragon Emperor,"Adventure Action Fantasy Universal Pictures China Film Co-Production Corporation Relativity Media Alphaville Films Sommers Company, The 5.2"
297761,Suicide Squad,Action Adventure Crime Fantasy Science Fiction dc comics shared universe anti hero secret mission villain superhero supervillain dc extended universe DC Comics Dune Entertainment Atlas Entertainment Warner Bros. DC Entertainment 5.9
2698,Evan Almighty,Fantasy Comedy Family father son relationship daily life married couple support father marriage faith baustelle rescue animal nature duringcreditsstinger noah's ark Columbia Pictures Universal Pictures Spyglass Entertainment Shady Acres Entertainment Original Film Playtone Relativity Media 5.3
137113,Edge of Tomorrow,Action Science Fiction deja vu time warp restart dystopia war alien military officer soldier alien invasion exoskeleton Village Roadshow Pictures Warner Bros. Viz Media Province of British Columbia Production Services Tax Credit 3 Arts Entertainment RatPac-Dune Entertainment 7.6
9804,Waterworld,Adventure Action ocean tattoo mutant water dystopia doomsday Universal Pictures Gordon Company Davis Entertainment Licht/Mueller Film Corporation 5.9
14869,G.I. Joe: The Rise of Cobra,Adventure Action Thriller Science Fiction terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra Paramount Pictures Spyglass Entertainment Di Bonaventura Pictures Hasbro Kontsept Film Company 5.6
150540,Inside Out,Drama Comedy Animation Family dream cartoon imaginary friend animation family moving kids unicorn duringcreditsstinger 3d emotions Walt Disney Pictures Pixar Animation Studios 8.0
278927,The Jungle Book,Family Adventure Drama Fantasy based on novel snake wolf elephant tiger feral child panther remake bear jungle talking animal orphan animal talking to animals Walt Disney Pictures Walt Disney Studios Motion Pictures Fairview Entertainment Moving Picture Company (MPC) 6.7
10138,Iron Man 2,Adventure Action Science Fiction malibu marvel comic superhero based on comic book revenge aftercreditsstinger marvel cinematic universe Marvel Studios 6.6
58595,Snow White and the Huntsman,Adventure Fantasy Drama queen magic fairy tale immortality forest deception woman eternal youth snow white evil queen evil stepmother imprisoned sorceress Universal Pictures Roth Films 5.8
102651,Maleficent,Fantasy Adventure Action Family Romance fairy tale villain sleeping beauty dark fantasy based on fairy tale adaptation retelling literary adaptation 3d Walt Disney Pictures Walt Disney Studios Motion Pictures Roth Films 7.0
119450,Dawn of the Planet of the Apes,Science Fiction Action Drama Thriller leader colony post-apocalyptic dystopia forest sequel woods ape scientist monkey medical research animal attack plague 3d Ingenious Media Chernin Entertainment TSG Entertainment 7.3
79698,The Lovers,Action Adventure Science Fiction Romance Corsan Bliss Media Limelight International Media Entertainment Neelmudra Entertainment Aristos Films Singularity Productions Wildkite 4.8
64686,47 Ronin,Drama Action Adventure Fantasy japan suicide samurai based on true story samurai sword ronin shogun half breed 3d Mid Atlantic Films Stuber Productions Universal Moving Picture Company (MPC) H2F Entertainment 5.9
100402,Captain America: The Winter Soldier,Action Adventure Science Fiction washington d.c. future shield marvel comic superhero based on comic book captain america aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d political thriller Marvel Studios 7.6
10192,Shrek Forever After,Comedy Adventure Fantasy Animation Family ogre 3d DreamWorks Animation 6.0
158852,Tomorrowland,Adventure Family Mystery Science Fiction inventor apocalypse destiny imax dreamer futuristic car futuristic city Walt Disney Pictures Babieka A113 6.2
177572,Big Hero 6,Adventure Family Animation Action Comedy brother brother relationship hero talent revenge best friend another dimension robot boy genius hate aftercreditsstinger moral dilemma 3d teen superheroes dead brother Walt Disney Pictures Walt Disney Animation Studios 7.8
82690,Wreck-It Ralph,Family Animation Comedy Adventure support group product placement bullying racing arcade medal self esteem curiosity precocious child aftercreditsstinger duringcreditsstinger first person shooter glitch carefree video gamer q*bert interrupted wedding social reject Walt Disney Animation Studios 7.1
5255,The Polar Express,Adventure Animation Family Fantasy santa claus nerd faith gift bell beard north pole chute trestle ticket christmas Golden Mean Playtone ImageMovers 6.4
47933,Independence Day: Resurgence,Action Adventure Science Fiction alternate history alien invasion Twentieth Century Fox Film Corporation Centropolis Entertainment TSG Entertainment Stereo D 4.9
10191,How to Train Your Dragon,Fantasy Adventure Animation Family flying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat well warrior DreamWorks Animation Vertigo Entertainment Mad Hatter Entertainment 7.5
296,Terminator 3: Rise of the Machines,Action Thriller Science Fiction saving the world artificial intelligence man vs machine cyborg killer robot sun glasses leather jacket nanotechnology rocket launcher firemen veterinarian fire engine dystopia psychiatrist Columbia Pictures Intermedia Films Warner Bros. C-2 Pictures IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG Mostow/Lieberman Productions 5.9
118340,Guardians of the Galaxy,Action Science Fiction Adventure marvel comic spaceship space outer space orphan adventurer aftercreditsstinger duringcreditsstinger marvel cinematic universe Marvel Studios Moving Picture Company (MPC) Bulletproof Cupid Revolution Sun Studios 7.9
157336,Interstellar,Adventure Drama Science Fiction saving the world artificial intelligence father son relationship single parent nasa expedition wormhole space travel famine black hole dystopia race against time quantum mechanics spaceship space rescue family relationships farmhouse robot astronaut scientist father daughter relationship single father farmer space station imax astrophysics zero gravity courage time paradox relativity Paramount Pictures Legendary Pictures Warner Bros. Syncopy Lynda Obst Productions 8.1
27205,Inception,Action Thriller Science Fiction Mystery Adventure loss of lover dream kidnapping sleep subconsciousness heist redemption female hero Legendary Pictures Warner Bros. Syncopy 8.1
315011,Shin Godzilla,Action Adventure Drama Horror Science Fiction monster godzilla giant monster destruction kaiju toyko Cine Bazar Toho Pictures 6.5
49051,The Hobbit: An Unexpected Journey,Adventure Fantasy Action riddle elves dwarves orcs middle-earth (tolkien) hobbit mountains wizard journey ring goblin courage giant tunnel underground lake buried treasure climbing a tree invisibility ancient gnomes WingNut Films New Line Cinema Warner Bros. Pictures Metro-Goldwyn-Mayer (MGM) 7.0
9799,The Fast and the Furious,Action Crime Thriller street gang car race undercover auto-tuning los angeles car automobile racing aftercreditsstinger duringcreditsstinger Universal Pictures Original Film Ardustry Entertainment Mediastream Film GmbH & Co. Productions KG 6.6
4922,The Curious Case of Benjamin Button,"Fantasy Drama Thriller Mystery Romance diary navy funeral tea travel hospital Paramount Pictures Warner Bros. Kennedy/Marshall Company, The 7.3"
49538,X-Men: First Class,Action Science Fiction Adventure cia mutant mine marvel comic superhero based on comic book superhuman historical fiction nuclear war cuban missile crisis world war iii 1960s Ingenious Film Partners Ingenious Media Twentieth Century Fox Film Corporation Donners' Company Dune Entertainment Dune Entertainment III Marvel Entertainment Bad Hat Harry Productions Big Screen Productions 7.1
131634,The Hunger Games: Mockingjay - Part 2,Action Adventure Science Fiction revolution strong woman dystopia game of death 3d based on young adult novel Studio Babelsberg Lionsgate Color Force 6.6
27022,The Sorcerer's Apprentice,Fantasy Adventure Action Comedy Drama witch fire wolf fountain magic book castle water apprentice training merlin love mission sorcerer dragon aftercreditsstinger apprendista morgana Walt Disney Pictures Jerry Bruckheimer Films Saturn Films Broken Road Productions Junction Entertainment 5.8
503,Poseidon,Adventure Action Drama Thriller new year's eve fire drowning cataclysm loss of father atlantic ocean ball self-abandonment shipwreck giant wave blackout ship daughter single escape capsized ship Virtual Studios Next Entertainment Warner Bros. Irwin Allen Productions Radiant Productions Synthesis Entertainment 5.5
241259,Alice Through the Looking Glass,Fantasy based on novel clock queen sequel alice in wonderland dark fantasy mad hatter 3d Walt Disney Pictures Team Todd Tim Burton Productions Roth Films Legend3D 6.5
810,Shrek the Third,Fantasy Adventure Animation Comedy Family ambush sadness stage liberation of prisoners island traitor shipwreck prince ship donkey kingdom theatre play transformation conciliation tricks heir to the throne assault boarding school coup d'etat teacher best friend dragon cowardliness pregnancy capture duringcreditsstinger DreamWorks SKG DreamWorks Animation 6.0
68735,Warcraft,Action Adventure Fantasy video game elves orcs magic chase based on comic book sorcerer fictional war based on video game wizard fictional language muscles orc sword and sorcery Universal Pictures Atlas Entertainment Legendary Pictures Blizzard Entertainment 6.3
87101,Terminator Genisys,Science Fiction Action Thriller Adventure saving the world artificial intelligence cyborg killer robot future time travel dystopia sequel fiction duringcreditsstinger 3d Paramount Pictures Annapurna Pictures Skydance Media 5.8
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure Family Fantasy based on novel magic good vs evil king narnia fantasy world knife held to throat snowing quest Dune Entertainment Fox 2000 Pictures Walden Media 6.2
676,Pearl Harbor,History Romance War nurse patriotism hawaii world war ii pilot pearl harbor u.s. air force airplane war army love pin-up Jerry Bruckheimer Films Touchstone Pictures 6.6
1858,Transformers,Adventure Science Fiction Action destroy transformation alien based on toy transformers robot duringcreditsstinger teenage hero Paramount Pictures DreamWorks SKG Amblin Entertainment Di Bonaventura Pictures Platinum Dunes thinkfilm SprocketHeads Hasbro Studios Revolution Sun Studios 6.6
1966,Alexander,War History Action Adventure Drama Romance aristotle egypt greece persia elephant campaign alexander the great homosexuality gay relationship ancient world France 3 Cinéma Intermedia Films Pathé Renn Productions Egmond Film & Television Warner Bros. Pacifica Film IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG WR Universal Group 5.6
675,Harry Potter and the Order of the Phoenix,Adventure Fantasy Family Mystery prophecy witch loss of lover magic cutting the cord child hero dying and death broom sorcerer's apprentice school of witchcraft black magic death of a friend sorcery occultism Warner Bros. Heyday Films 7.4
674,Harry Potter and the Goblet of Fire,Adventure Fantasy Family magic dying and death broom sorcerer's apprentice school of witchcraft chosen one black magic boarding school vision tournament teenager wizard teenage hero based on young adult novel Patalex IV Productions Limited Warner Bros. Heyday Films 7.5
8960,Hancock,Fantasy Action flying alcohol love of one's life forbidden love lovers affection advertising expert alcoholism invulnerability superhero pokies duringcreditsstinger Columbia Pictures Weed Road Pictures Forward Pass Relativity Media Overbrook Entertainment Blue Light GH Three 6.2
6479,I Am Legend,Drama Horror Action Thriller Science Fiction saving the world lost civilisation post-apocalyptic dystopia matter of life and death alone helplessness virus pandemic Village Roadshow Pictures Original Film Weed Road Pictures Warner Bros. Heyday Films Overbrook Entertainment 6.9
118,Charlie and the Chocolate Factory,Adventure Comedy Family Fantasy london england father son relationship chocolate factory worker based on novel parents kids relationship candy overweight child grandfather grandson relationship teacher Village Roadshow Pictures The Zanuck Company Warner Bros. Tim Burton Productions Plan B Entertainment Theobald Film Productions 6.7
2062,Ratatouille,Animation Comedy Family Fantasy paris brother brother relationship expensive restaurant river cook mouse confidence roof window leaving one's family work restaurant critic kitchen spice court cookbook family chef rat Walt Disney Pictures Pixar Animation Studios 7.5
272,Batman Begins,Action Crime Drama himalaya martial arts dc comics crime fighter secret identity undercover hero loss of father society gotham city vigilante superhero based on comic book rivalry tragic hero ninja good vs evil crime super powers haunted by the past evil doctor escapade master villain fighting crime unfulfillment love and romance unfulfilled love DC Comics Legendary Pictures Warner Bros. DC Entertainment Syncopy Patalex III Productions Limited 7.5
10527,Madagascar: Escape 2 Africa,Family Animation africa jealousy dance hunger lion zoo hippopotamus chimp penguin volcano madagascar airplane zebra sequel shark imax duringcreditsstinger DreamWorks Animation 6.2
18360,Night at the Museum: Battle of the Smithsonian,Adventure Fantasy Action Comedy Family museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian Twentieth Century Fox Film Corporation 1492 Pictures Dune Entertainment 21 Laps Entertainment Museum Canada Productions Moving Picture Company (MPC) 5.9
2080,X-Men Origins: Wolverine,Adventure Action Thriller Science Fiction corruption mutant boxer army marvel comic superhero aftercreditsstinger duringcreditsstinger Ingenious Film Partners Twentieth Century Fox Film Corporation Donners' Company Dune Entertainment Seed Productions Bad Hat Harry Productions Big Screen Productions Marvel Enterprises 6.2
605,The Matrix Revolutions,Adventure Action Thriller Science Fiction saving the world artificial intelligence man vs machine flying philosophy fortune teller kung fu underground world killer robot temple subway dream sun hero fight sunlight computer virus key future precognition super computer machine town ying yang dying and death virtual reality dystopia computer faith world religion truth rescue mission cyberpunk woman director yin yang gnosticism Village Roadshow Pictures NPV Entertainment Silver Pictures Warner Bros. 6.4
109445,Frozen,Animation Adventure Family queen musical princess betrayal snowman animation reindeer curse snow troll mountain climber aftercreditsstinger woman director 3d Walt Disney Pictures Walt Disney Animation Studios 7.3
604,The Matrix Reloaded,Adventure Action Thriller Science Fiction saving the world artificial intelligence man vs machine martial arts kung fu underground world dream hero fight computer virus key future plato precognition rave dying and death virtual reality dystopia computer faith world religion truth mission cyberpunk woman director gnosticism Village Roadshow Pictures NPV Entertainment Heineken Branded Entertainment Silver Pictures Warner Bros. 6.7
76338,Thor: The Dark World,Action Adventure Fantasy marvel comic superhero based on comic book hostile takeover norse mythology aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d asgard Marvel Studios 6.8
76341,Mad Max: Fury Road,Action Adventure Science Fiction Thriller future chase post-apocalyptic dystopia australia rescue survival on the run convoy peak oil dark future Village Roadshow Pictures Kennedy Miller Productions Warner Bros. 7.2
13448,Angels & Demons,Thriller Mystery rome vatican based on novel symbolism christian illuminati quantum mechanics prequel anti matter conspiracy investigator catholicism cern Columbia Pictures Imagine Entertainment Panorama Films Skylark Productions 6.5
10195,Thor,Adventure Fantasy Action new mexico banishment shield marvel comic hammer superhero based on comic book redemption norse mythology aftercreditsstinger marvel cinematic universe 3d asgard odin heimdall Marvel Studios 6.6
