"cust_id","location_1","location_2"
"01-29",checkout,exit
"01-30",entrance,spices
"01-30",spices,drinks
"01-30",drinks,fruit
"01-30",fruit,dairy
"01-30",dairy,fruit
"01-30",fruit,checkout
"01-30",checkout,exit
"01-31",entrance,spices
"01-31",spices,checkout
"01-31",checkout,exit
"01-32",entrance,drinks
"01-32",drinks,checkout
"01-32",checkout,exit
"01-33",entrance,fruit
"01-33",fruit,dairy
"01-33",dairy,spices
"01-33",spices,dairy
"01-33",dairy,drinks
"01-33",drinks,spices
"01-33",spices,drinks
"01-33",drinks,checkout
"01-33",checkout,exit
"01-34",entrance,spices
"01-34",spices,drinks
"01-34",drinks,spices
"01-34",spices,fruit
"01-34",fruit,checkout
"01-34",checkout,exit
"01-35",entrance,dairy
"01-35",dairy,drinks
"01-35",drinks,checkout
"01-35",checkout,exit
"01-36",entrance,dairy
"01-36",dairy,checkout
"01-36",checkout,exit
"01-37",entrance,fruit
"01-37",fruit,checkout
"01-37",checkout,exit
"01-38",entrance,fruit
"01-38",fruit,dairy
"01-38",dairy,checkout
"01-38",checkout,exit
"01-39",entrance,dairy
"01-39",dairy,checkout
"01-39",checkout,exit
"01-40",entrance,dairy
"01-40",dairy,spices
"01-40",spices,checkout
"01-40",checkout,exit
"01-41",entrance,drinks
"01-41",drinks,dairy
"01-41",dairy,spices
"01-41",spices,drinks
"01-41",drinks,checkout
"01-41",checkout,exit
"01-42",entrance,dairy
"01-42",dairy,spices
"01-42",spices,fruit
"01-42",fruit,dairy
"01-42",dairy,checkout
"01-42",checkout,exit
"01-43",entrance,fruit
"01-43",fruit,dairy
"01-43",dairy,fruit
"01-43",fruit,dairy
"01-43",dairy,checkout
"01-43",checkout,exit
"01-44",entrance,fruit
"01-44",fruit,checkout
"01-44",checkout,exit
"01-45",entrance,spices
"01-45",spices,dairy
"01-45",dairy,fruit
"01-45",fruit,drinks
"01-45",drinks,fruit
"01-45",fruit,dairy
"01-45",dairy,checkout
"01-45",checkout,exit
"01-46",entrance,fruit
"01-46",fruit,checkout
"01-46",checkout,exit
"01-47",entrance,drinks
"01-47",drinks,fruit
"01-47",fruit,dairy
"01-47",dairy,checkout
"01-47",checkout,exit
"01-48",entrance,drinks
"01-48",drinks,checkout
"01-48",checkout,exit
"01-49",entrance,spices
"01-49",spices,checkout
"01-49",checkout,exit
"01-50",entrance,fruit
"01-50",fruit,drinks
"01-50",drinks,spices
"01-50",spices,checkout
"01-50",checkout,exit
"01-51",entrance,fruit
"01-51",fruit,dairy
"01-51",dairy,checkout
"01-51",checkout,exit
"01-52",entrance,drinks
"01-52",drinks,spices
"01-52",spices,fruit
"01-52",fruit,drinks
"01-52",drinks,fruit
"01-52",fruit,checkout
"01-52",checkout,exit
"01-53",entrance,fruit
"01-53",fruit,checkout
"01-53",checkout,exit
"01-54",entrance,spices
"01-54",spices,dairy
"01-54",dairy,checkout
"01-54",checkout,exit
"01-55",entrance,spices
"01-55",spices,dairy
"01-55",dairy,checkout
"01-55",checkout,exit
"01-56",entrance,fruit
"01-56",fruit,dairy
"01-56",dairy,spices
"01-56",spices,drinks
"01-56",drinks,checkout
"01-56",checkout,exit
"01-57",entrance,fruit
"01-57",fruit,checkout
"01-57",checkout,exit
"01-58",entrance,drinks
"01-58",drinks,checkout
"01-58",checkout,exit
"01-59",entrance,dairy
"01-59",dairy,drinks
"01-59",drinks,fruit
"01-59",fruit,checkout
"01-59",checkout,exit
"01-60",entrance,fruit
"01-60",fruit,drinks
"01-60",drinks,checkout
"01-60",checkout,exit
"01-61",entrance,spices
"01-61",spices,drinks
"01-61",drinks,checkout
"01-61",checkout,exit
"01-62",entrance,spices
"01-62",spices,drinks
"01-62",drinks,checkout
"01-62",checkout,exit
"01-63",entrance,spices
"01-63",spices,drinks
"01-63",drinks,fruit
"01-63",fruit,dairy
"01-63",dairy,fruit
"01-63",fruit,drinks
"01-63",drinks,checkout
"01-63",checkout,exit
"01-64",entrance,drinks
"01-64",drinks,fruit
"01-64",fruit,drinks
"01-64",drinks,checkout
"01-64",checkout,exit
"01-65",entrance,drinks
"01-65",drinks,dairy
"01-65",dairy,checkout
"01-65",checkout,exit
"01-66",entrance,spices
"01-66",spices,drinks
"01-66",drinks,spices
"01-66",spices,checkout
"01-66",checkout,exit
"01-67",entrance,dairy
"01-67",dairy,spices
"01-67",spices,drinks
"01-67",drinks,checkout
"01-67",checkout,exit
"01-68",entrance,spices
"01-68",spices,drinks
"01-68",drinks,fruit
"01-68",fruit,spices
"01-68",spices,checkout
"01-68",checkout,exit
"01-69",entrance,fruit
"01-69",fruit,checkout
"01-69",checkout,exit
"01-70",entrance,spices
"01-70",spices,drinks
"01-70",drinks,checkout
"01-70",checkout,exit
"01-71",entrance,dairy
"01-71",dairy,fruit
"01-71",fruit,checkout
"01-71",checkout,exit
"01-72",entrance,spices
"01-72",spices,drinks
"01-72",drinks,checkout
"01-72",checkout,exit
"01-73",entrance,dairy
"01-73",dairy,checkout
"01-73",checkout,exit
"01-74",entrance,spices
"01-74",spices,fruit
"01-74",fruit,checkout
"01-74",checkout,exit
"01-75",entrance,spices
"01-75",spices,dairy
"01-75",dairy,drinks
"01-75",drinks,spices
"01-75",spices,drinks
"01-75",drinks,checkout
"01-75",checkout,exit
"01-76",entrance,drinks
"01-76",drinks,dairy
"01-76",dairy,drinks
"01-76",drinks,checkout
"01-76",checkout,exit
"01-77",entrance,fruit
"01-77",fruit,checkout
"01-77",checkout,exit
"01-78",entrance,spices
"01-78",spices,dairy
"01-78",dairy,checkout
"01-78",checkout,exit
"01-79",entrance,dairy
"01-79",dairy,drinks
"01-79",drinks,checkout
"01-79",checkout,exit
"01-80",entrance,dairy
"01-80",dairy,drinks
"01-80",drinks,spices
"01-80",spices,dairy
"01-80",dairy,fruit
"01-80",fruit,checkout
"01-80",checkout,exit
"01-81",entrance,drinks
"01-81",drinks,fruit
"01-81",fruit,checkout
"01-81",checkout,exit
"01-82",entrance,drinks
"01-82",drinks,checkout
"01-82",checkout,exit
"01-83",entrance,fruit
"01-83",fruit,dairy
"01-83",dairy,checkout
"01-83",checkout,exit
"01-84",entrance,fruit
"01-84",fruit,drinks
"01-84",drinks,spices
"01-84",spices,dairy
"01-84",dairy,drinks
"01-84",drinks,checkout
"01-84",checkout,exit
"01-85",entrance,drinks
"01-85",drinks,spices
"01-85",spices,checkout
"01-85",checkout,exit
"01-86",entrance,spices
"01-86",spices,drinks
"01-86",drinks,spices
"01-86",spices,fruit
"01-86",fruit,dairy
"01-86",dairy,fruit
"01-86",fruit,spices
"01-86",spices,dairy
"01-86",dairy,drinks
"01-86",drinks,fruit
"01-86",fruit,drinks
"01-86",drinks,checkout
"01-86",checkout,exit
"01-87",entrance,drinks
"01-87",drinks,checkout
"01-87",checkout,exit
"01-88",entrance,dairy
"01-88",dairy,checkout
"01-88",checkout,exit
"01-89",entrance,drinks
"01-89",drinks,checkout
"01-89",checkout,exit
"01-90",entrance,spices
"01-90",spices,checkout
"01-90",checkout,exit
"01-91",entrance,fruit
"01-91",fruit,dairy
"01-91",dairy,checkout
"01-91",checkout,exit
"01-92",entrance,dairy
"01-92",dairy,checkout
"01-92",checkout,exit
"01-93",entrance,dairy
"01-93",dairy,checkout
"01-93",checkout,exit
"01-94",entrance,drinks
"01-94",drinks,dairy
"01-94",dairy,checkout
"01-94",checkout,exit
"01-95",entrance,drinks
"01-95",drinks,fruit
"01-95",fruit,spices
"01-95",spices,dairy
"01-95",dairy,checkout
"01-95",checkout,exit
"01-96",entrance,dairy
"01-96",dairy,checkout
"01-96",checkout,exit
"01-97",entrance,fruit
"01-97",fruit,checkout
"01-97",checkout,exit
"01-98",entrance,dairy
"01-98",dairy,drinks
"01-98",drinks,fruit
"01-98",fruit,drinks
"01-98",drinks,checkout
"01-98",checkout,exit
"01-99",entrance,dairy
"01-99",dairy,drinks
"01-99",drinks,spices
"01-99",spices,drinks
"01-99",drinks,checkout
"01-99",checkout,exit
"01-100",entrance,drinks
"01-100",drinks,checkout
"01-100",checkout,exit
"01-101",entrance,fruit
"01-101",fruit,checkout
"01-101",checkout,exit
"01-102",entrance,dairy
"01-102",dairy,checkout
"01-102",checkout,exit
"01-103",entrance,dairy
"01-103",dairy,drinks
"01-103",drinks,spices
"01-103",spices,drinks
"01-103",drinks,checkout
"01-103",checkout,exit
"01-104",entrance,fruit
"01-104",fruit,spices
"01-104",spices,drinks
"01-104",drinks,spices
"01-104",spices,dairy
"01-104",dairy,fruit
"01-104",fruit,checkout
"01-104",checkout,exit
"01-105",entrance,fruit
"01-105",fruit,checkout
"01-105",checkout,exit
"01-106",entrance,drinks
"01-106",drinks,spices
"01-106",spices,checkout
"01-106",checkout,exit
"01-107",entrance,dairy
"01-107",dairy,spices
"01-107",spices,checkout
"01-107",checkout,exit
"01-108",entrance,fruit
"01-108",fruit,dairy
"01-108",dairy,checkout
"01-108",checkout,exit
"01-109",entrance,dairy
"01-109",dairy,spices
"01-109",spices,drinks
"01-109",drinks,fruit
"01-109",fruit,dairy
"01-109",dairy,spices
"01-109",spices,fruit
"01-109",fruit,spices
"01-109",spices,drinks
"01-109",drinks,checkout
"01-109",checkout,exit
"01-110",entrance,spices
"01-110",spices,dairy
"01-110",dairy,checkout
"01-110",checkout,exit
"01-111",entrance,fruit
"01-111",fruit,dairy
"01-111",dairy,checkout
"01-111",checkout,exit
"01-112",entrance,fruit
"01-112",fruit,dairy
"01-112",dairy,checkout
"01-112",checkout,exit
"01-113",entrance,dairy
"01-113",dairy,drinks
"01-113",drinks,fruit
"01-113",fruit,checkout
"01-113",checkout,exit
"01-114",entrance,drinks
"01-114",drinks,checkout
"01-114",checkout,exit
"01-115",entrance,fruit
"01-115",fruit,checkout
"01-115",checkout,exit
"01-116",entrance,drinks
"01-116",drinks,checkout
"01-116",checkout,exit
"01-117",entrance,dairy
"01-117",dairy,spices
"01-117",spices,drinks
"01-117",drinks,checkout
"01-117",checkout,exit
"01-118",entrance,fruit
"01-118",fruit,checkout
"01-118",checkout,exit
"01-119",entrance,drinks
"01-119",drinks,checkout
"01-119",checkout,exit
"01-120",entrance,spices
"01-120",spices,dairy
"01-120",dairy,checkout
"01-120",checkout,exit
"01-121",entrance,dairy
"01-121",dairy,checkout
"01-121",checkout,exit
"01-122",entrance,dairy
"01-122",dairy,drinks
"01-122",drinks,checkout
"01-122",checkout,exit
"01-123",entrance,drinks
"01-123",drinks,dairy
"01-123",dairy,checkout
"01-123",checkout,exit
"01-124",entrance,fruit
"01-124",fruit,checkout
"01-124",checkout,exit
"01-125",entrance,fruit
"01-125",fruit,checkout
"01-125",checkout,exit
"01-126",entrance,fruit
"01-126",fruit,checkout
"01-126",checkout,exit
"01-127",entrance,spices
"01-127",spices,fruit
"01-127",fruit,spices
"01-127",spices,checkout
"01-127",checkout,exit
"01-128",entrance,fruit
"01-128",fruit,checkout
"01-128",checkout,exit
"01-129",entrance,spices
"01-129",spices,checkout
"01-129",checkout,exit
"01-130",entrance,drinks
"01-130",drinks,checkout
"01-130",checkout,exit
"01-131",entrance,dairy
"01-131",dairy,checkout
"01-131",checkout,exit
"01-132",entrance,fruit
"01-132",fruit,checkout
"01-132",checkout,exit
"01-133",entrance,dairy
"01-133",dairy,drinks
"01-133",drinks,spices
"01-133",spices,dairy
"01-133",dairy,spices
"01-133",spices,dairy
"01-133",dairy,fruit
"01-133",fruit,checkout
"01-133",checkout,exit
"01-134",entrance,drinks
"01-134",drinks,checkout
"01-134",checkout,exit
"01-135",entrance,dairy
"01-135",dairy,checkout
"01-135",checkout,exit
"01-136",entrance,dairy
"01-136",dairy,drinks
"01-136",drinks,fruit
"01-136",fruit,checkout
"01-136",checkout,exit
"01-137",entrance,fruit
"01-137",fruit,checkout
"01-137",checkout,exit
"01-138",entrance,fruit
"01-138",fruit,dairy
"01-138",dairy,spices
"01-138",spices,drinks
"01-138",drinks,checkout
"01-138",checkout,exit
"01-139",entrance,dairy
"01-139",dairy,checkout
"01-139",checkout,exit
"01-140",entrance,fruit
"01-140",fruit,checkout
"01-140",checkout,exit
"01-141",entrance,fruit
"01-141",fruit,checkout
"01-141",checkout,exit
"01-142",entrance,dairy
"01-142",dairy,drinks
"01-142",drinks,checkout
"01-142",checkout,exit
"01-143",entrance,dairy
"01-143",dairy,drinks
"01-143",drinks,checkout
"01-143",checkout,exit
"01-144",entrance,drinks
"01-144",drinks,spices
"01-144",spices,drinks
"01-144",drinks,checkout
"01-144",checkout,exit
"01-145",entrance,drinks
"01-145",drinks,checkout
"01-145",checkout,exit
"01-146",entrance,dairy
"01-146",dairy,spices
"01-146",spices,drinks
"01-146",drinks,spices
"01-146",spices,checkout
"01-146",checkout,exit
"01-147",entrance,dairy
"01-147",dairy,fruit
"01-147",fruit,spices
"01-147",spices,fruit
"01-147",fruit,drinks
"01-147",drinks,checkout
"01-147",checkout,exit
"01-148",entrance,spices
"01-148",spices,checkout
"01-148",checkout,exit
"01-149",entrance,spices
"01-149",spices,fruit
"01-149",fruit,checkout
"01-149",checkout,exit
"01-150",entrance,dairy
"01-150",dairy,drinks
"01-150",drinks,checkout
"01-150",checkout,exit
"01-151",entrance,dairy
"01-151",dairy,fruit
"01-151",fruit,checkout
"01-151",checkout,exit
"01-152",entrance,fruit
"01-152",fruit,checkout
"01-152",checkout,exit
"01-153",entrance,dairy
"01-153",dairy,checkout
"01-153",checkout,exit
"01-154",entrance,dairy
"01-154",dairy,spices
"01-154",spices,drinks
"01-154",drinks,fruit
"01-154",fruit,drinks
"01-154",drinks,fruit
"01-154",fruit,spices
"01-154",spices,dairy
"01-154",dairy,checkout
"01-154",checkout,exit
"01-155",entrance,drinks
"01-155",drinks,checkout
"01-155",checkout,exit
"01-156",entrance,fruit
"01-156",fruit,checkout
"01-156",checkout,exit
"01-157",entrance,spices
"01-157",spices,dairy
"01-157",dairy,checkout
"01-157",checkout,exit
"01-158",entrance,drinks
"01-158",drinks,spices
"01-158",spices,drinks
"01-158",drinks,checkout
"01-158",checkout,exit
"01-159",entrance,drinks
"01-159",drinks,fruit
"01-159",fruit,spices
"01-159",spices,drinks
"01-159",drinks,fruit
"01-159",fruit,checkout
"01-159",checkout,exit
"01-160",entrance,fruit
"01-160",fruit,drinks
"01-160",drinks,checkout
"01-160",checkout,exit
"01-161",entrance,dairy
"01-161",dairy,drinks
"01-161",drinks,spices
"01-161",spices,drinks
"01-161",drinks,spices
"01-161",spices,dairy
"01-161",dairy,checkout
"01-161",checkout,exit
"01-162",entrance,spices
"01-162",spices,fruit
"01-162",fruit,checkout
"01-162",checkout,exit
"01-163",entrance,drinks
"01-163",drinks,spices
"01-163",spices,dairy
"01-163",dairy,drinks
"01-163",drinks,checkout
"01-163",checkout,exit
"01-164",entrance,fruit
"01-164",fruit,dairy
"01-164",dairy,checkout
"01-164",checkout,exit
"01-165",entrance,fruit
"01-165",fruit,dairy
"01-165",dairy,drinks
"01-165",drinks,checkout
"01-165",checkout,exit
"01-166",entrance,dairy
"01-166",dairy,checkout
"01-166",checkout,exit
"01-167",entrance,spices
"01-167",spices,dairy
"01-167",dairy,fruit
"01-167",fruit,dairy
"01-167",dairy,drinks
"01-167",drinks,spices
"01-167",spices,fruit
"01-167",fruit,drinks
"01-167",drinks,spices
"01-167",spices,dairy
"01-167",dairy,checkout
"01-167",checkout,exit
"01-168",entrance,drinks
"01-168",drinks,spices
"01-168",spices,checkout
"01-168",checkout,exit
"01-169",entrance,drinks
"01-169",drinks,spices
"01-169",spices,checkout
"01-169",checkout,exit
"01-170",entrance,fruit
"01-170",fruit,checkout
"01-170",checkout,exit
"01-171",entrance,spices
"01-171",spices,dairy
"01-171",dairy,checkout
"01-171",checkout,exit
"01-172",entrance,drinks
"01-172",drinks,spices
"01-172",spices,dairy
"01-172",dairy,checkout
"01-172",checkout,exit
"01-173",entrance,drinks
"01-173",drinks,checkout
"01-173",checkout,exit
"01-174",entrance,fruit
"01-174",fruit,checkout
"01-174",checkout,exit
"01-175",entrance,drinks
"01-175",drinks,checkout
"01-175",checkout,exit
"01-176",entrance,drinks
"01-176",drinks,fruit
"01-176",fruit,checkout
"01-176",checkout,exit
"01-177",entrance,fruit
"01-177",fruit,checkout
"01-177",checkout,exit
"01-178",entrance,fruit
"01-178",fruit,drinks
"01-178",drinks,checkout
"01-178",checkout,exit
"01-179",entrance,spices
"01-179",spices,drinks
"01-179",drinks,checkout
"01-179",checkout,exit
"01-180",entrance,fruit
"01-180",fruit,dairy
"01-180",dairy,checkout
"01-180",checkout,exit
"01-181",entrance,fruit
"01-181",fruit,dairy
"01-181",dairy,checkout
"01-181",checkout,exit
"01-182",entrance,dairy
"01-182",dairy,spices
"01-182",spices,dairy
"01-182",dairy,checkout
"01-182",checkout,exit
"01-183",entrance,fruit
"01-183",fruit,checkout
"01-183",checkout,exit
"01-184",entrance,drinks
"01-184",drinks,spices
"01-184",spices,drinks
"01-184",drinks,fruit
"01-184",fruit,checkout
"01-184",checkout,exit
"01-185",entrance,dairy
"01-185",dairy,checkout
"01-185",checkout,exit
"01-186",entrance,dairy
"01-186",dairy,fruit
"01-186",fruit,dairy
"01-186",dairy,drinks
"01-186",drinks,fruit
"01-186",fruit,dairy
"01-186",dairy,drinks
"01-186",drinks,spices
"01-186",spices,fruit
"01-186",fruit,checkout
"01-186",checkout,exit
"01-187",entrance,drinks
"01-187",drinks,spices
"01-187",spices,dairy
"01-187",dairy,fruit
"01-187",fruit,checkout
"01-187",checkout,exit
"01-188",entrance,fruit
"01-188",fruit,checkout
"01-188",checkout,exit
"01-189",entrance,dairy
"01-189",dairy,spices
"01-189",spices,drinks
"01-189",drinks,fruit
"01-189",fruit,checkout
"01-189",checkout,exit
"01-190",entrance,spices
"01-190",spices,dairy
"01-190",dairy,checkout
"01-190",checkout,exit
"01-191",entrance,dairy
"01-191",dairy,drinks
"01-191",drinks,spices
"01-191",spices,dairy
"01-191",dairy,checkout
"01-191",checkout,exit
"01-192",entrance,dairy
"01-192",dairy,drinks
"01-192",drinks,fruit
"01-192",fruit,drinks
"01-192",drinks,checkout
"01-192",checkout,exit
"01-193",entrance,drinks
"01-193",drinks,checkout
"01-193",checkout,exit
"01-194",entrance,drinks
"01-194",drinks,checkout
"01-194",checkout,exit
"01-195",entrance,dairy
"01-195",dairy,fruit
"01-195",fruit,drinks
"01-195",drinks,checkout
"01-195",checkout,exit
"01-196",entrance,dairy
"01-196",dairy,spices
"01-196",spices,fruit
"01-196",fruit,checkout
"01-196",checkout,exit
"01-197",entrance,fruit
"01-197",fruit,spices
"01-197",spices,checkout
"01-197",checkout,exit
"01-198",entrance,fruit
"01-198",fruit,checkout
"01-198",checkout,exit
"01-199",entrance,fruit
"01-199",fruit,dairy
"01-199",dairy,fruit
"01-199",fruit,spices
"01-199",spices,drinks
"01-199",drinks,spices
"01-199",spices,checkout
"01-199",checkout,exit
"01-200",entrance,fruit
"01-200",fruit,checkout
"01-200",checkout,exit
"01-201",entrance,fruit
"01-201",fruit,dairy
"01-201",dairy,checkout
"01-201",checkout,exit
"01-202",entrance,dairy
"01-202",dairy,checkout
"01-202",checkout,exit
"01-203",entrance,spices
"01-203",spices,drinks
"01-203",drinks,checkout
"01-203",checkout,exit
"01-204",entrance,dairy
"01-204",dairy,checkout
"01-204",checkout,exit
"01-205",entrance,fruit
"01-205",fruit,drinks
"01-205",drinks,checkout
"01-205",checkout,exit
"01-206",entrance,fruit
"01-206",fruit,dairy
"01-206",dairy,drinks
"01-206",drinks,fruit
"01-206",fruit,dairy
"01-206",dairy,checkout
"01-206",checkout,exit
"01-207",entrance,fruit
"01-207",fruit,checkout
"01-207",checkout,exit
"01-208",entrance,dairy
"01-208",dairy,drinks
"01-208",drinks,fruit
"01-208",fruit,dairy
"01-208",dairy,checkout
"01-208",checkout,exit
"01-209",entrance,fruit
"01-209",fruit,checkout
"01-209",checkout,exit
"01-210",entrance,fruit
"01-210",fruit,checkout
"01-210",checkout,exit
"01-211",entrance,dairy
"01-211",dairy,spices
"01-211",spices,dairy
"01-211",dairy,drinks
"01-211",drinks,fruit
"01-211",fruit,checkout
"01-211",checkout,exit
"01-212",entrance,dairy
"01-212",dairy,checkout
"01-212",checkout,exit
"01-213",entrance,drinks
"01-213",drinks,checkout
"01-213",checkout,exit
"01-214",entrance,fruit
"01-214",fruit,dairy
"01-214",dairy,drinks
"01-214",drinks,fruit
"01-214",fruit,drinks
"01-214",drinks,checkout
"01-214",checkout,exit
"01-215",entrance,fruit
"01-215",fruit,checkout
"01-215",checkout,exit
"01-216",entrance,dairy
"01-216",dairy,drinks
"01-216",drinks,spices
"01-216",spices,drinks
"01-216",drinks,checkout
"01-216",checkout,exit
"01-217",entrance,spices
"01-217",spices,dairy
"01-217",dairy,drinks
"01-217",drinks,fruit
"01-217",fruit,dairy
"01-217",dairy,checkout
"01-217",checkout,exit
"01-218",entrance,fruit
"01-218",fruit,checkout
"01-218",checkout,exit
"01-219",entrance,fruit
"01-219",fruit,dairy
"01-219",dairy,fruit
"01-219",fruit,checkout
"01-219",checkout,exit
"01-220",entrance,fruit
"01-220",fruit,spices
"01-220",spices,drinks
"01-220",drinks,fruit
"01-220",fruit,dairy
"01-220",dairy,drinks
"01-220",drinks,checkout
"01-220",checkout,exit
"01-221",entrance,dairy
"01-221",dairy,checkout
"01-221",checkout,exit
"01-222",entrance,spices
"01-222",spices,checkout
"01-222",checkout,exit
"01-223",entrance,fruit
"01-223",fruit,checkout
"01-223",checkout,exit
"01-224",entrance,spices
"01-224",spices,drinks
"01-224",drinks,checkout
"01-224",checkout,exit
"01-225",entrance,fruit
"01-225",fruit,spices
"01-225",spices,checkout
"01-225",checkout,exit
"01-226",entrance,fruit
"01-226",fruit,checkout
"01-226",checkout,exit
"01-227",entrance,fruit
"01-227",fruit,checkout
"01-227",checkout,exit
"01-228",entrance,spices
"01-228",spices,drinks
"01-228",drinks,checkout
"01-228",checkout,exit
"01-229",entrance,spices
"01-229",spices,dairy
"01-229",dairy,fruit
"01-229",fruit,dairy
"01-229",dairy,fruit
"01-229",fruit,checkout
"01-229",checkout,exit
"01-230",entrance,fruit
"01-230",fruit,dairy
"01-230",dairy,drinks
"01-230",drinks,checkout
"01-230",checkout,exit
"01-231",entrance,fruit
"01-231",fruit,dairy
"01-231",dairy,drinks
"01-231",drinks,checkout
"01-231",checkout,exit
"01-232",entrance,dairy
"01-232",dairy,drinks
"01-232",drinks,fruit
"01-232",fruit,checkout
"01-232",checkout,exit
"01-233",entrance,fruit
"01-233",fruit,dairy
"01-233",dairy,checkout
"01-233",checkout,exit
"01-234",entrance,fruit
"01-234",fruit,drinks
"01-234",drinks,fruit
"01-234",fruit,dairy
"01-234",dairy,drinks
"01-234",drinks,spices
"01-234",spices,fruit
"01-234",fruit,checkout
"01-234",checkout,exit
"01-235",entrance,dairy
"01-235",dairy,checkout
"01-235",checkout,exit
"01-236",entrance,drinks
"01-236",drinks,fruit
"01-236",fruit,spices
"01-236",spices,dairy
"01-236",dairy,fruit
"01-236",fruit,checkout
"01-236",checkout,exit
"01-237",entrance,spices
"01-237",spices,drinks
"01-237",drinks,fruit
"01-237",fruit,checkout
"01-237",checkout,exit
"01-238",entrance,dairy
"01-238",dairy,fruit
"01-238",fruit,checkout
"01-238",checkout,exit
"01-239",entrance,fruit
"01-239",fruit,checkout
"01-239",checkout,exit
"01-240",entrance,spices
"01-240",spices,drinks
"01-240",drinks,checkout
"01-240",checkout,exit
"01-241",entrance,spices
"01-241",spices,dairy
"01-241",dairy,drinks
"01-241",drinks,checkout
"01-241",checkout,exit
"01-242",entrance,fruit
"01-242",fruit,checkout
"01-242",checkout,exit
"01-243",entrance,spices
"01-243",spices,drinks
"01-243",drinks,checkout
"01-243",checkout,exit
"01-244",entrance,spices
"01-244",spices,dairy
"01-244",dairy,checkout
"01-244",checkout,exit
"01-245",entrance,fruit
"01-245",fruit,checkout
"01-245",checkout,exit
"01-246",entrance,fruit
"01-246",fruit,checkout
"01-246",checkout,exit
"01-247",entrance,fruit
"01-247",fruit,drinks
"01-247",drinks,checkout
"01-247",checkout,exit
"01-248",entrance,fruit
"01-248",fruit,spices
"01-248",spices,drinks
"01-248",drinks,checkout
"01-248",checkout,exit
"01-249",entrance,fruit
"01-249",fruit,checkout
"01-249",checkout,exit
"01-250",entrance,dairy
"01-250",dairy,checkout
"01-250",checkout,exit
"01-251",entrance,spices
"01-251",spices,fruit
"01-251",fruit,checkout
"01-251",checkout,exit
"01-252",entrance,spices
"01-252",spices,drinks
"01-252",drinks,fruit
"01-252",fruit,drinks
"01-252",drinks,checkout
"01-252",checkout,exit
"01-253",entrance,dairy
"01-253",dairy,drinks
"01-253",drinks,spices
"01-253",spices,dairy
"01-253",dairy,checkout
"01-253",checkout,exit
"01-254",entrance,dairy
"01-254",dairy,spices
"01-254",spices,drinks
"01-254",drinks,spices
"01-254",spices,checkout
"01-254",checkout,exit
"01-255",entrance,dairy
"01-255",dairy,checkout
"01-255",checkout,exit
"01-256",entrance,fruit
